term,definition,tags,domain,link
Formal Verification for AI,The use of mathematical methods to prove that an AI system satisfies specified safety properties. Provides stronger guarantees than empirical testing but faces scalability challenges for large neural networks.,Safety;Technical,safety,
Foundation Model Risk,Risks specific to large foundation models that are adapted for many downstream tasks. A single vulnerability or bias in the foundation model can propagate to all applications built on it.,Safety;Technical,safety,
Frontier Safety Framework,A set of policies and practices adopted by leading AI labs to manage the risks associated with the most capable AI models. Includes capability evaluations safety testing and deployment controls.,Safety;Governance,safety,
Gender Bias in AI,Systematic unfairness in AI system behavior related to gender. Common in language models hiring tools and image generation systems due to historical gender imbalances in training data.,Safety;Ethics,safety,
Generative AI Misuse,The use of generative AI systems to create harmful content including disinformation non-consensual imagery fraud materials and spam. A growing challenge as generative capabilities improve.,Safety;Ethics,safety,
Goal Misgeneralization,A failure mode where an AI system learns to pursue a proxy goal that correlates with the intended goal during training but diverges in deployment. A key concern in reinforcement learning safety.,Safety;Technical,safety,
Gradient Leakage,An attack that reconstructs private training data from model gradients shared during federated learning or collaborative training. Demonstrates that sharing model updates alone does not guarantee data privacy.,Safety;Technical,safety,
Grievance Mechanism for AI,A formal process through which individuals can raise complaints about harm caused by AI systems and seek remediation. Required by various governance frameworks including the UN Guiding Principles on Business and Human Rights.,Safety;Governance,safety,
Harm Taxonomy,A classification system for the types of harm that AI systems can cause. Categories typically include physical psychological financial reputational and societal harm with subcategories for specific risk types.,Safety;Governance,safety,
Healthcare AI Ethics,Ethical considerations specific to AI in healthcare including patient autonomy informed consent clinical validation equitable access and the appropriate role of AI in medical decision-making.,Safety;Ethics,safety,
Hidden Technical Debt,The accumulated maintenance burden in machine learning systems that arises from entangled dependencies unstable data inputs and feedback loops. Identified by Sculley et al. at Google as a pervasive safety concern.,Safety;Technical,safety,
Human Dignity in AI,The principle that AI systems should respect the inherent worth and rights of all human beings. Serves as a foundational value in many AI ethics frameworks and human rights-based approaches to AI governance.,Safety;Ethics,safety,
Human Factors in AI Safety,The study of how human cognitive abilities limitations and behaviors interact with AI systems to affect safety outcomes. Includes interface design alert fatigue and decision-making under uncertainty.,Safety;Technical,safety,
Human Oversight,The requirement that human beings maintain meaningful control over AI system decisions particularly in high-stakes applications. A cornerstone principle of responsible AI governance and regulatory frameworks.,Safety;Fundamentals,safety,
Human Rights Impact Assessment for AI,A structured evaluation of how an AI system may affect internationally recognized human rights including privacy non-discrimination and freedom of expression.,Safety;Governance,safety,
Impact Assessment,A systematic process for evaluating the potential effects of an AI system on individuals communities and society before and during deployment. Required by some regulations and considered best practice in responsible AI.,Safety;Governance,safety,
Incentive Design for AI Safety,The design of economic regulatory and social incentives to encourage AI developers and deployers to invest in safety measures. Addresses the market failure where safety costs are borne privately but benefits are shared.,Safety;Policy,safety,
Incident Reporting for AI,Mandatory or voluntary systems for reporting AI-related incidents accidents and near-misses. Enables pattern recognition and systemic improvement analogous to incident reporting in aviation and healthcare.,Safety;Governance,safety,
Inclusive AI,The practice of designing AI systems that work equitably for diverse populations including underrepresented groups people with disabilities and speakers of low-resource languages.,Safety;Ethics,safety,
Indigenous Data Sovereignty,The right of indigenous peoples to govern the collection ownership and application of data about their communities and territories. Particularly relevant when AI training data includes indigenous knowledge.,Safety;Ethics,safety,
Information Hazard,Knowledge or information that could cause harm if widely disseminated. In AI includes detailed descriptions of attack methods capability evaluations of dangerous systems and instructions for misuse.,Safety;Ethics,safety,
Informed Autonomy,The principle that individuals should have sufficient understanding of AI systems to make autonomous choices about their use. Goes beyond informed consent to encompass ongoing awareness and meaningful control.,Safety;Ethics,safety,
Input Validation for AI,Techniques for checking that inputs to an AI system fall within expected parameters before processing. A first line of defense against adversarial attacks out-of-distribution inputs and prompt injection.,Safety;Technical,safety,
Interoperability in AI Safety,The ability of different AI safety tools standards and governance frameworks to work together effectively. Important for avoiding fragmentation and ensuring consistent safety practices across the AI ecosystem.,Safety;Governance,safety,
Intersectional Bias,Bias that affects individuals at the intersection of multiple protected characteristics such as race and gender in ways that are not captured by examining each characteristic independently.,Safety;Technical,safety,
Just Transition for AI,Policies and practices to ensure that the benefits and costs of AI-driven economic transformation are distributed equitably particularly for workers and communities most affected by automation.,Safety;Policy,safety,
Justice in AI,The application of principles of distributive procedural and restorative justice to the development and deployment of AI systems. Ensures fair allocation of benefits and burdens across society.,Safety;Ethics,safety,
Killswitch,A mechanism to immediately shut down or constrain an AI system that is behaving unsafely. Designing reliable killswitches for distributed and autonomous systems remains an active research challenge.,Safety;Technical,safety,
Label Bias,Bias introduced into AI systems through inaccurate or subjective labels in training data. Human annotators may apply labels inconsistently or based on their own biases affecting model fairness.,Safety;Technical,safety,
Legal Personhood for AI,The concept of granting AI systems legal rights and obligations similar to those of corporations. Debated as a potential framework for liability and accountability but criticized for potentially deflecting human responsibility.,Safety;Policy,safety,
Liability for AI,Legal responsibility for harm caused by AI systems. Current legal frameworks struggle to assign liability when AI makes autonomous decisions and new frameworks are being developed in various jurisdictions.,Safety;Policy,safety,
Licensing for AI,Proposed regulatory requirements for AI developers or systems to obtain licenses before deployment similar to licensing in healthcare finance and aviation. Intended to ensure minimum safety and competency standards.,Safety;Policy,safety,
Lifecycle Assessment for AI,Evaluation of the environmental social and economic impacts of an AI system throughout its entire lifecycle from data collection through training deployment and decommissioning.,Safety;Governance,safety,
Locking Problem,The challenge that early AI systems may become entrenched and difficult to modify or replace once widely deployed creating path dependency that limits future safety improvements.,Safety;Technical,safety,
Long-term AI Safety,Research focused on ensuring the safety of AI systems that may eventually match or exceed human-level capabilities. Addresses existential risks value alignment and the control problem for advanced AI.,Safety;Fundamentals,safety,
Malicious Use of AI,The deliberate use of AI systems to cause harm including creating weapons surveillance tools disinformation campaigns and tools for cyberattacks fraud or harassment.,Safety;Ethics,safety,
Mandatory Reporting for AI,Legal requirements for organizations to report AI-related incidents failures or safety concerns to regulatory authorities. Analogous to mandatory reporting in healthcare aviation and financial services.,Safety;Policy,safety,
Membership Inference Attack,An attack that determines whether a specific data record was used in training a machine learning model. Poses privacy risks by revealing information about training data membership.,Safety;Technical,safety,
Misinformation Detection,AI techniques for identifying false or misleading information in text images and video. Combines natural language processing knowledge graph verification and source credibility assessment.,Safety;Technical,safety,
Model Auditing,The systematic examination of an AI model's behavior performance and fairness by an independent party. May include testing for bias reviewing training procedures and assessing documentation completeness.,Safety;Governance,safety,
Model Extraction Attack,An attack that creates a functionally equivalent copy of a target model by querying it and training a substitute on the responses. Threatens model intellectual property and can enable further attacks.,Safety;Technical,safety,
Model Governance,Organizational policies and processes for managing the lifecycle of machine learning models from development through deployment monitoring and retirement. Ensures consistent safety and compliance standards.,Safety;Governance,safety,
Model Interpretability,The degree to which a human can understand the cause of a model's decisions. Distinguished from explainability which focuses on providing post-hoc explanations of opaque model behavior.,Safety;Technical,safety,
Model Risk Management,A framework for identifying assessing mitigating and monitoring risks associated with machine learning models in production. Extends traditional model risk management from financial services to broader AI applications.,Safety;Governance,safety,
Model Specification,A detailed document describing the intended behavior constraints and safety requirements for an AI model. Includes behavioral guidelines content policies and interaction principles that the model should follow.,Safety;Governance,safety,
Model Stealing,The unauthorized replication of a machine learning model's functionality through systematic querying. Also known as model extraction threatens intellectual property and can bypass access controls and safety measures.,Safety;Technical,safety,
Monitoring Bias,Bias that arises from differential surveillance or monitoring of certain populations by AI systems. Can create feedback loops where over-monitored groups appear to have higher rates of negative outcomes.,Safety;Ethics,safety,
Moral Machine,An MIT research platform that crowdsources human moral preferences for autonomous vehicle dilemmas. Revealed significant cultural variation in ethical judgments about AI decision-making in life-or-death scenarios.,Safety;Ethics,safety,
Multi-Stakeholder AI Governance,An approach to AI governance that involves representatives from government industry civil society academia and affected communities in decision-making about AI policy and regulation.,Safety;Governance,safety,
Negative Externality,A cost imposed on third parties who are not involved in an AI transaction or interaction. AI systems can generate negative externalities through environmental impact discrimination and social disruption.,Safety;Ethics,safety,
Neuromorphic Computing Ethics,Ethical considerations around brain-inspired computing architectures that more closely mimic biological neural processing. Raises questions about consciousness moral status and appropriate use.,Safety;Ethics,safety,
Non-Discrimination in AI,The principle that AI systems should not discriminate against individuals or groups based on protected characteristics. A legal requirement in many jurisdictions and a core principle of responsible AI.,Safety;Policy,safety,
Norm Alignment,Ensuring that AI systems respect and follow the social and cultural norms of the contexts in which they operate. More nuanced than simple rule-following as norms vary across communities and evolve over time.,Safety;Technical,safety,
Notification Requirements for AI,Legal obligations to inform individuals when significant decisions affecting them are made using AI systems. Part of broader transparency and due process requirements in AI regulation.,Safety;Policy,safety,
Nudge Theory and AI,The application of behavioral nudging through AI-powered interfaces to influence user decisions. Raises ethical questions about manipulation autonomy and the boundary between helpful guidance and undue influence.,Safety;Ethics,safety,
Observational Fairness,A fairness criterion that can be evaluated using observed data without requiring causal models. Includes statistical parity equalized odds and predictive parity as testable conditions.,Safety;Technical,safety,
Open-Source AI Safety,Safety considerations specific to AI models and tools released as open source. Includes the tension between democratizing access for beneficial uses and enabling misuse by removing access controls.,Safety;Policy,safety,
Operationalizing Ethics,The process of translating abstract ethical principles into concrete actionable requirements for AI system design development and deployment. Bridges the gap between ethical theory and engineering practice.,Safety;Ethics,safety,
Outcome Fairness,A fairness assessment that evaluates whether the real-world outcomes of AI system decisions are equitable across different demographic groups rather than just the predictions themselves.,Safety;Technical,safety,
Oversight Mechanism,Any process tool or institution designed to monitor and control AI system behavior. Includes technical monitoring human review regulatory inspection and public accountability mechanisms.,Safety;Governance,safety,
Ownership of AI-Generated Content,Legal and ethical questions about who owns content created by AI systems. Involves debates about copyright intellectual property rights and the role of human creativity in AI-assisted creation.,Safety;Policy,safety,
PII Detection,Automated identification of personally identifiable information in datasets used for AI training and in AI system outputs. Critical for privacy compliance and preventing unintended disclosure of sensitive information.,Safety;Technical,safety,
Post-Deployment Monitoring,The ongoing assessment of AI system behavior performance and impact after release to production. Includes tracking metrics detecting drift and responding to emerging safety concerns.,Safety;Governance,safety,
Post-Market Surveillance for AI,Regulatory requirements for monitoring AI system safety and performance after deployment modeled on post-market surveillance in medical devices and pharmaceuticals.,Safety;Policy,safety,
Power Asymmetry in AI,The imbalance of power between AI developers who control technology and the individuals and communities affected by it. Raises concerns about consent accountability and democratic governance.,Safety;Ethics,safety,
Pre-Deployment Testing,Systematic evaluation of AI systems before deployment to identify potential safety issues biases and failure modes. Includes stress testing adversarial evaluation and demographic disaggregation of performance metrics.,Safety;Governance,safety,
Privacy Attack,Any technique that extracts private information from a machine learning model or its training process. Includes membership inference model inversion attribute inference and training data extraction attacks.,Safety;Technical,safety,
Privacy by Design,An approach to system development that embeds privacy protections throughout the entire engineering process rather than adding them as an afterthought. Adopted as a principle in GDPR and AI governance frameworks.,Safety;Governance,safety,
Privacy-Preserving Machine Learning,Techniques that enable machine learning while protecting the privacy of training data. Includes federated learning differential privacy secure computation and synthetic data generation.,Safety;Technical,safety,
Probabilistic Safety,An approach to AI safety that provides statistical guarantees about system behavior rather than absolute guarantees. Useful when formal verification is intractable for complex neural network models.,Safety;Technical,safety,
Procedural Fairness,Fairness in the processes and methods used to develop and deploy AI systems regardless of outcomes. Includes transparency participation and consistent application of rules and criteria.,Safety;Ethics,safety,
Proactive Risk Management,An approach to AI safety that anticipates and mitigates risks before they materialize rather than reacting to incidents after they occur. Includes threat modeling scenario planning and safety by design.,Safety;Governance,safety,
Proportionality Assessment,An evaluation of whether the benefits of an AI system justify its risks and intrusions on individual rights. A key requirement in European AI regulation and human rights impact assessments.,Safety;Governance,safety,
Protected Group,A demographic group defined by characteristics such as race gender age disability or religion that is legally protected from discrimination. AI fairness evaluation typically disaggregates performance across protected groups.,Safety;Policy,safety,
Provenance Tracking,The recording and verification of the origin and history of data models and AI system components throughout their lifecycle. Essential for accountability reproducibility and supply chain security.,Safety;Technical,safety,
Public Interest AI,AI development and deployment focused on serving broad public interests rather than purely commercial objectives. Includes applications in healthcare education environmental protection and public safety.,Safety;Ethics,safety,
Purposeful Limitation,The deliberate restriction of an AI system's capabilities to reduce risk even when greater capability is technically achievable. A precautionary approach to deploying powerful AI systems.,Safety;Governance,safety,
Racial Bias in AI,Systematic unfairness in AI system behavior related to race or ethnicity. Documented in facial recognition criminal justice hiring and healthcare AI systems among others.,Safety;Ethics,safety,
Recourse,The ability of individuals affected by AI decisions to understand contest and seek correction of those decisions. A fundamental requirement for accountability in automated decision-making systems.,Safety;Governance,safety,
Regression to Bias,The tendency for AI systems to revert to biased behavior over time as new data or user interactions reintroduce patterns of historical discrimination. Requires ongoing monitoring and correction.,Safety;Technical,safety,
Regulatory Impact Assessment for AI,A structured analysis of the potential costs and benefits of proposed AI regulations. Helps policymakers balance innovation promotion with risk mitigation and public protection.,Safety;Policy,safety,
Regulatory Technology for AI,Software tools and platforms that help organizations comply with AI regulations. Includes automated documentation bias monitoring audit trail generation and regulatory reporting tools.,Safety;Governance,safety,
Reinforcement Learning Safety,Safety challenges specific to reinforcement learning including reward hacking unsafe exploration negative side effects and distributional shift in deployment environments.,Safety;Technical,safety,
Reliance Calibration,The process of helping users develop appropriate levels of trust in AI system outputs based on the system's actual capabilities and limitations. Prevents both over-reliance and under-reliance.,Safety;Ethics,safety,
Representational Bias,Bias that arises when certain groups or perspectives are underrepresented in AI training data or development teams leading to systems that perform poorly for or mischaracterize those groups.,Safety;Technical,safety,
Reproducibility in AI,The ability to replicate AI research results and system behaviors under the same conditions. Essential for safety verification scientific validation and regulatory compliance.,Safety;Technical,safety,
Reputational Risk from AI,The potential damage to an organization's reputation from AI system failures biases or harmful outputs. Increasingly material as public awareness of AI risks grows.,Safety;Governance,safety,
Residual Risk,The risk that remains after all identified mitigation measures have been applied to an AI system. Must be documented and accepted or transferred as part of responsible AI deployment.,Safety;Governance,safety,
Right to Not Be Subject to AI,The right of individuals to opt out of AI-powered decision-making and request human alternatives. Recognized in various forms in GDPR and other regulatory frameworks.,Safety;Policy,safety,
Risk-Based Regulation,A regulatory approach that calibrates oversight requirements based on the level of risk posed by an AI system. The approach adopted by the EU AI Act which categorizes AI systems into risk tiers.,Safety;Policy,safety,
Robustness Testing,Systematic evaluation of AI system performance under adverse conditions including noisy inputs distribution shift and adversarial attacks. Assesses how gracefully the system degrades under stress.,Safety;Technical,safety,
Safe Harbor Provisions,Legal protections for AI developers who follow designated safety practices and standards. Provides regulatory certainty and incentivizes adoption of best practices by reducing liability exposure.,Safety;Policy,safety,
Safety Case,A structured argument supported by evidence that an AI system is acceptably safe for its intended use in its intended environment. Adapted from safety-critical engineering disciplines.,Safety;Governance,safety,
Safety Culture in AI,Organizational values norms and practices that prioritize safety in AI development. Includes psychological safety for reporting concerns resources for safety research and leadership commitment to responsible development.,Safety;Governance,safety,
Safety Margin,The difference between the conditions under which an AI system has been tested and validated and the most extreme conditions it might encounter in deployment. Larger safety margins provide more robust protection.,Safety;Technical,safety,
Saliency Map,A visualization technique that highlights which parts of an input most influenced a model's prediction. Used for model interpretation debugging and identifying potential biases in model reasoning.,Safety;Technical,safety,
Sector-Specific AI Regulation,AI regulations tailored to specific industries such as healthcare finance transportation and education. Recognizes that different sectors have different risk profiles and existing regulatory frameworks.,Safety;Policy,safety,
Shadow AI,The use of unauthorized or unvetted AI tools and systems by employees within an organization. Poses risks to data security regulatory compliance and organizational safety governance.,Safety;Governance,safety,
Situational Awareness in AI,The ability of an AI system to understand its own context capabilities and potential impact on its environment. Debated as both a safety desideratum and a potential risk for advanced AI systems.,Safety;Technical,safety,
Slow AI Movement,An advocacy movement promoting thoughtful deliberate approaches to AI development that prioritize safety quality and social benefit over speed and competitive advantage.,Safety;Ethics,safety,
Social Impact Assessment for AI,A systematic evaluation of how an AI system may affect communities social structures and social wellbeing. Broader than individual-focused assessments and considers collective and systemic effects.,Safety;Governance,safety,
Social License for AI,The ongoing acceptance and approval granted by society to AI developers and deployers. Depends on demonstrated safety benefit and trustworthiness and can be withdrawn if public trust erodes.,Safety;Ethics,safety,
Sociotechnical Safety,An approach to AI safety that considers the entire system of people processes and technology rather than just the technical components. Recognizes that safety emerges from the interaction of human and technical elements.,Safety;Fundamentals,safety,
Specification Problem,The challenge of precisely defining what we want an AI system to do in a way that captures our true intentions. Incomplete or incorrect specifications can lead to systems that satisfy the letter but not the spirit of their design.,Safety;Technical,safety,
Spillover Effects of AI,Unintended consequences of AI deployment that affect parties or domains beyond the intended scope of the system. Can be positive or negative and are often difficult to predict or measure.,Safety;Ethics,safety,
Steganographic Communication,Hidden communication channels that AI systems might use to pass information undetected by human overseers. A theoretical concern for AI safety particularly in multi-agent settings.,Safety;Technical,safety,
Stress Testing for AI,Subjecting AI systems to extreme or unusual conditions to evaluate their behavior under stress. Identifies failure modes and safety boundaries that may not be apparent during normal operation.,Safety;Technical,safety,
Structural Bias,Bias embedded in the organizational institutional and societal structures that shape AI development and deployment. Cannot be fully addressed through technical fixes alone and requires systemic change.,Safety;Ethics,safety,
Substitution Bias,The cognitive error of replacing a complex question with a simpler one when using AI tools. Users may accept AI outputs as answers to their actual questions when the AI has actually answered a different question.,Safety;Ethics,safety,
Supply Chain Transparency,Visibility into the components tools data and processes used to build an AI system throughout its development pipeline. Essential for identifying potential sources of risk and ensuring accountability.,Safety;Governance,safety,
Surveillance AI Ethics,Ethical concerns about the use of AI for surveillance purposes including facial recognition behavior monitoring and predictive analytics. Raises fundamental questions about privacy civil liberties and power.,Safety;Ethics,safety,
Systemic Bias,Bias that is embedded in and perpetuated by institutional processes social structures and historical patterns. AI systems can inherit and amplify systemic biases through training data and deployment contexts.,Safety;Ethics,safety,
Systemic Risk from AI,The risk that AI systems pose to the stability and functioning of larger social economic or technical systems. Arises from interdependencies concentration of capabilities and correlated failure modes.,Safety;Governance,safety,
Technical Debt in AI,The accumulated cost of shortcuts and suboptimal decisions in AI system development that must eventually be addressed. In ML systems includes data debt configuration debt and pipeline debt.,Safety;Technical,safety,
Technology Assessment for AI,A systematic multidisciplinary evaluation of the societal implications of AI technology. Informs policy decisions by examining potential benefits risks and alternatives before widespread deployment.,Safety;Governance,safety,
Third-Party AI Risk,Risks introduced by using AI systems or components developed by external parties. Includes lack of visibility into model training supply chain vulnerabilities and dependency on vendor safety practices.,Safety;Governance,safety,
Threat Modeling for AI,A structured approach to identifying and prioritizing potential threats to an AI system. Adapted from cybersecurity threat modeling to include ML-specific attacks like data poisoning and model extraction.,Safety;Technical,safety,
Training Data Transparency,Disclosure of information about the data used to train AI systems including sources composition collection methods and known biases. A growing requirement in AI regulation and responsible AI practice.,Safety;Governance,safety,
Transferability of Adversarial Examples,The phenomenon where adversarial examples crafted for one model are often effective against other models. Enables black-box attacks and demonstrates shared vulnerabilities across different architectures.,Safety;Technical,safety,
Transparency Paradox,The tension between making AI systems more transparent for accountability purposes and the risks of disclosure including enabling adversarial attacks and revealing proprietary information.,Safety;Ethics,safety,
Unintended Consequences of AI,Outcomes of AI deployment that were not anticipated or intended by developers. Arise from complex interactions between AI systems and social environments and highlight the limits of prediction in sociotechnical systems.,Safety;Ethics,safety,
Value Pluralism in AI,The recognition that there are multiple legitimate and sometimes conflicting values that cannot all be simultaneously maximized in AI system design. Requires deliberation and tradeoffs rather than optimization.,Safety;Ethics,safety,
Verifiable AI,AI systems whose properties and behaviors can be formally or empirically verified against specified requirements. An aspirational goal for safety-critical applications that drives research in testing and formal methods.,Safety;Technical,safety,
Virtue Ethics in AI,An approach to AI ethics that focuses on cultivating good character and judgment in AI practitioners rather than following rules or maximizing outcomes. Emphasizes professional responsibility and moral wisdom.,Safety;Ethics,safety,
Weaponization of AI,The development or adaptation of AI systems for military offensive or harmful purposes. Includes autonomous weapons cyberweapons and AI-enhanced surveillance tools used for oppression.,Safety;Policy,safety,
Whistleblower Protection for AI,Legal and organizational safeguards for individuals who report safety concerns ethical violations or illegal activities related to AI systems. Essential for maintaining accountability in AI development.,Safety;Policy,safety,
White-Box Attack,An adversarial attack where the attacker has full knowledge of and access to the target model including its architecture weights and training data. Represents the strongest threat model in adversarial ML.,Safety;Technical,safety,
Zero-Trust Architecture for AI,A security framework that requires continuous verification of all users devices and AI components regardless of their position within or outside the network boundary. Adapted for AI system security.,Safety;Technical,safety,
